value,sourceX,sourceY,targetX,targetY
0,breakfast,<54,lunch,<54
0,breakfast,<54,lunch,54-70
0,breakfast,<54,lunch,70-180
0,breakfast,<54,lunch,180-250
0,breakfast,<54,lunch,>250
0,breakfast,54-70,lunch,<54
0,breakfast,54-70,lunch,54-70
0,breakfast,54-70,lunch,70-180
0,breakfast,54-70,lunch,180-250
0,breakfast,54-70,lunch,>250
0,breakfast,70-180,lunch,<54
0,breakfast,70-180,lunch,54-70
136,breakfast,70-180,lunch,70-180
29,breakfast,70-180,lunch,180-250
18,breakfast,70-180,lunch,>250
0,breakfast,180-250,lunch,<54
0,breakfast,180-250,lunch,54-70
31,breakfast,180-250,lunch,70-180
9,breakfast,180-250,lunch,180-250
18,breakfast,180-250,lunch,>250
0,breakfast,>250,lunch,<54
0,breakfast,>250,lunch,54-70
13,breakfast,>250,lunch,70-180
8,breakfast,>250,lunch,180-250
19,breakfast,>250,lunch,>250
0,lunch,<54,pmSnack,<54
0,lunch,<54,pmSnack,54-70
0,lunch,<54,pmSnack,70-180
0,lunch,<54,pmSnack,180-250
0,lunch,<54,pmSnack,>250
0,lunch,54-70,pmSnack,<54
0,lunch,54-70,pmSnack,54-70
0,lunch,54-70,pmSnack,70-180
0,lunch,54-70,pmSnack,180-250
0,lunch,54-70,pmSnack,>250
0,lunch,70-180,pmSnack,<54
0,lunch,70-180,pmSnack,54-70
27,lunch,70-180,pmSnack,70-180
14,lunch,70-180,pmSnack,180-250
13,lunch,70-180,pmSnack,>250
0,lunch,180-250,pmSnack,<54
0,lunch,180-250,pmSnack,54-70
12,lunch,180-250,pmSnack,70-180
5,lunch,180-250,pmSnack,180-250
7,lunch,180-250,pmSnack,>250
0,lunch,>250,pmSnack,<54
0,lunch,>250,pmSnack,54-70
8,lunch,>250,pmSnack,70-180
7,lunch,>250,pmSnack,180-250
15,lunch,>250,pmSnack,>250
0,pmSnack,<54,supper,<54
0,pmSnack,<54,supper,54-70
0,pmSnack,<54,supper,70-180
0,pmSnack,<54,supper,180-250
0,pmSnack,<54,supper,>250
0,pmSnack,54-70,supper,<54
0,pmSnack,54-70,supper,54-70
0,pmSnack,54-70,supper,70-180
0,pmSnack,54-70,supper,180-250
0,pmSnack,54-70,supper,>250
0,pmSnack,70-180,supper,<54
2,pmSnack,70-180,supper,54-70
33,pmSnack,70-180,supper,70-180
8,pmSnack,70-180,supper,180-250
2,pmSnack,70-180,supper,>250
0,pmSnack,180-250,supper,<54
0,pmSnack,180-250,supper,54-70
20,pmSnack,180-250,supper,70-180
1,pmSnack,180-250,supper,180-250
2,pmSnack,180-250,supper,>250
0,pmSnack,>250,supper,<54
0,pmSnack,>250,supper,54-70
15,pmSnack,>250,supper,70-180
9,pmSnack,>250,supper,180-250
5,pmSnack,>250,supper,>250
0,supper,<54,zBedtimeSnack,<54
0,supper,<54,zBedtimeSnack,54-70
0,supper,<54,zBedtimeSnack,70-180
0,supper,<54,zBedtimeSnack,180-250
0,supper,<54,zBedtimeSnack,>250
0,supper,54-70,zBedtimeSnack,<54
0,supper,54-70,zBedtimeSnack,54-70
0,supper,54-70,zBedtimeSnack,70-180
0,supper,54-70,zBedtimeSnack,180-250
0,supper,54-70,zBedtimeSnack,>250
0,supper,70-180,zBedtimeSnack,<54
0,supper,70-180,zBedtimeSnack,54-70
4,supper,70-180,zBedtimeSnack,70-180
4,supper,70-180,zBedtimeSnack,180-250
2,supper,70-180,zBedtimeSnack,>250
0,supper,180-250,zBedtimeSnack,<54
0,supper,180-250,zBedtimeSnack,54-70
1,supper,180-250,zBedtimeSnack,70-180
1,supper,180-250,zBedtimeSnack,180-250
1,supper,180-250,zBedtimeSnack,>250
0,supper,>250,zBedtimeSnack,<54
0,supper,>250,zBedtimeSnack,54-70
1,supper,>250,zBedtimeSnack,70-180
0,supper,>250,zBedtimeSnack,180-250
0,supper,>250,zBedtimeSnack,>250